State	Tornado Count	Total loss	Deaths	Change
AK	0	0.00	0	plus
AL	63	1.10	44	plus
AR	23	4.34	37	plus
AS	0	0.00	0	plus
AZ	1	0.00	0	plus
CA	4	0.00	9	plus
CO	39	0.21	60	plus
CT	1	0.02	1	plus
DC	0	0.00	0	plus
DE	0	0.00	0	plus
FL	45	45.70	77	minus
GA	28	6.02	28	plus
GU	0	0.00	0	plus
HI	0	0.00	0	plus
IA	45	5.38	45	plus
ID	2	0.00	13	plus
IL	45	3.91	55	plus
IN	42	10.80	13	minus
KS	102	4.13	59	plus
KY	24	5.97	23	plus
LA	27	0.26	43	plus
MA	1	1.00	1	plus
MD	3	0.08	8	plus
ME	1	0.00	2	plus
MI	15	5.64	4	plus
MN	37	1.63	32	plus
MO	18	0.35	27	plus
MS	45	6.89	27	plus
MT	6	1.50	10	plus
NC	16	2.31	23	plus
ND	22	0.80	28	plus
NE	45	1.05	60	plus
NH	1	0.00	0	plus
NJ	2	0.00	0	plus
NM	9	0.00	5	plus
NV	0	0.00	2	plus
NY	2	0.02	5	plus
OH	24	1.16	25	plus
OK	57	15.14	43	minus
OR	4	1.00	3	plus
PA	9	8.20	5	plus
PR	1	0.01	2	plus
RI	0	0.00	1	plus
SC	4	0.55	20	plus
SD	13	0.14	18	plus
TN	10	1.23	27	plus
TX	100	16.19	147	minus
UT	3	2.30	3	plus
VA	9	24.48	11	minus
VI	0	0.00	0	plus
VT	0	0.00	0	plus
WA	4	0.02	3	plus
WI	16	1.56	18	plus
WV	6	0.13	3	plus
WY	2	0.00	5	plus